인허가 변경일자,인허가 번호,상호명,주소,전화번호,인허가 before 정보,인허가 after 정보
="20250522",="20240492021",101번지 남산돈까스 일산차병원점,경기도 고양시 일산동구 중앙로 1205(차움 라이프센터 201일부호 장항동),,정**,김**
="20250522",="20160313140",1974마라탕,경기도 안산시 상록구 광덕산2로 14(1층 월피동  1층 일부),="0314012841",J***********************,C**********
="20250522",="20200380239",33떡볶이 김포구래나비점,경기도 김포시 김포한강9로12번길 123(107호 구래동),,김**,오**
="20250522",="20240062583",33떡볶이 서울용두점,서울특별시 동대문구 무학로26길 30(상가동 1층 5-1호 용두동  신동아아파트),,이**,최*
="20250522",="20210051216",BHC 돈암점,서울특별시 성북구 북악산로 902(1층 돈암동),,김**,김**
="20250522",="20060063245",BHC구산예일점,서울특별시 은평구 갈현로 141(1층 102호 구산동),="023573517",김**,박**
="20250522",="20230476558",HANBANGDISHANDMART,경기도 시흥시 중심상가로 180(모아프라자 103호 정왕동),,노**,샤*************************
="20250522",="20150350281",가마치통닭 용인마북점,경기도 용인시 기흥구 마북로154번길 3(마북동  테라스가든상가 B동 107호),="0312877120",이**,이**
="20250522",="20160081133",강산 양꼬치 (江山),서울특별시 구로구 구로동로28길 24(1층 구로동),,배**,김**
="20250522",="20230084002",강화통통생고기 수색점,서울특별시 은평구 은평터널로 64(1층 104 105호 수색동),,주**,김**
="20250522",="20210349225",계혁명 다산점,경기도 남양주시 다산중앙로145번길 9(에이스병원 106호 다산동),,박**,이**
="20250522",="20180291338",고향칼국수,경기도 의정부시 용현로160번길 14-8(지상1층 민락동),="0318520536",신**,이**
="20250522",="20070358324",고향해천탕,경기도 이천시 애련정로87번길 37(창전동),="0316353359",J********,김**
="20250522",="20210355851",귀빈,경기도 시흥시 장현서4길 33(1층 장현동),,김**,이**
="20250522",="19910042242",김가네 닭한마리,서울특별시 동대문구 전농로2길 3(1층 답십리동),="0222142341",최**,이**
="20250522",="20000348271",김떡형,경기도 용인시 처인구 중부대로1313번길 20-25(역북동),="0313368613",이**,박**
="20250522",="20240137188",김수사 신세계 강남점,서울특별시 서초구 신반포로 176(신세계백화점 강남점 지하1층 식품관 반포동),,윤**,김**
="20250522",="19980202572",김홍일특허짬뽕마을,인천광역시 부평구 육동로7번길 5(부평동),="0325040343",김**,J******************
="20250522",="20120362378",누나홀닭,경기도 김포시 중봉1로 12(1층 101호 감정동  이-삼메디컬센터),="0319855679",김**,김**
="20250522",="20220497454",뉴욕야시장 이천점,경기도 이천시 영창로 194-7(2층 창전동),,한**,주**
="20250522",="20160197687",다스트칸,인천광역시 연수구 비류대로433번길 11(2층 201 202호 연수동),,임**,A**************************
="20250522",="20150368733",닭발바닥 앤 떡볶이,경기도 광주시 초월읍 장담길 40(1층),="0317620611",김**,양**
="20250522",="20080377029",델씨엘로,경기도 가평군 청평면 경춘로 1031(1층),="0315841767",임**,임************
="20250522",="20210383117",도래곱창,경기도 화성시 향남읍 행정서로1길 13-12(101호 일부호),="0313537578",유*******,임**
="20250522",="20230280535",도로시파스타 연정 검단신도시점,인천광역시 서구 이음대로 463(검단센트럴시티 301호 302호일부호 당하동),="0327101550",이**,최**
="20250522",="20240123250",도둑맞은 닭강정,서울특별시 영등포구 영등포로72길 16(1층 일부호 신길동),,이*******,김**
="20250522",="20230505062",돈카냉면앤드파스타(마장점),경기도 이천시 마장면 중앙로10번길 8(1층 101호),,심**,심*******
="20250522",="20060358270",돈탑,경기도 이천시 장호원읍 장터로83번길 35(2층),="0316415789",박**,안**
="20250522",="20220427328",돌고래회직판장,경기도 동두천시 평화로2349번길 10(1층 생연동),,박**,안**
="20250522",="20190384477",레드빠(RED BAR),경기도 화성시 동탄중심상가2길 36(네오프라자 3층 303호 반송동),="03180037654",김**,유**
="20250522",="20220027690",마그넷 케이크룸(MAGNETTT-cakeroom),서울특별시 종로구 사직로12길 1-2(1층 내자동),,김**,박**
="20250522",="20150306114",마루횟집,경기도 평택시 비전2로 20(3층 동삭동),="0316548008",오**,권**
="20250522",="19930304129",마산아구찜,경기도 광명시 오리로854번길 16-7(2층 철산동),="0226139977",최**,김**
="20250522",="20230079366",만나밥상,서울특별시 노원구 한글비석로 91(상가205동 지하1층 1  9  10  11호 하계동  하계1차청구아파트),,서**,서*******
="20250522",="20140070224",만리향,서울특별시 마포구 신촌로 60(1층 동교동),,정**,이**
="20250522",="20240381023",만복집(광교직영점),경기도 수원시 영통구 센트럴파크로 6(지2층 149~150호 하동  힐스테이트 광교),,이**,이**
="20250522",="20240532856",만석푸드,경기도 용인시 처인구 금령로99번길 12-4(1층 일부 김량장동),,박**************,오**
="20250522",="20190354091",맞짱,경기도 시흥시 수인로2421번길 109(태성상가 1층 109일부호 논곡동),="0314806644",이**,김**
="20250522",="20170202026",메가엠지씨커피 인천부개동아점,인천광역시 부평구 길주남로 115-1(1~2층 부개동),,L*******,양**
="20250522",="20100327207",미르반점,경기도 고양시 일산서구 탄현로6번길 23-19(탄현동 1층 일부),="0319126123",김**,정**
="20250522",="20140316401",미미사천마라탕고잔점,경기도 안산시 단원구 광덕4로 116(1층 129호 고잔동  1층 129호),="0314106637",이**,C***************
="20250522",="20210272482",밥구정로데오 수원화서점,경기도 수원시 팔달구 팔달로99번길 22(1층 화서동),,김**,백**
="20250522",="20100281810",방아깐,경기도 성남시 분당구 운중로267번길 13-5(판교동 지하1층),="03180179107",김**,김**
="20250522",="20040208441",보드람치킨,인천광역시 서구 승학로 578(검암동 준암프라자 103호),="0325619292",손**,강**
="20250522",="20170277389",복 김밥,경기도 성남시 수정구 제일로 143(1층 일부호 수진동),,한**,김**
="20250522",="20040350171",본가엄동섞,경기도 용인시 기흥구 용구대로2152번길 34(구갈동 외1필지 드림프라자 110호),="0312823611",김**,정*******
="20250522",="20140081042",본가왕뼈감자탕 구로디지털점,서울특별시 구로구 디지털로34길 27(구로동  대륭포스트타워3차 110호),="0269594552",권**,권*******
="20250522",="20210366259",본죽&비빔밥 용인신갈점,경기도 용인시 기흥구 새천년로26번길 2(센타프라자 110호 신갈동),,강**,이**
="20250522",="20190087258",북경오리집,서울특별시 영등포구 대림로 127(혜진빌딩 1층 대림동),,조**,최**
="20250522",="20210295040",블랙콩(안양샘병원점),경기도 안양시 만안구 삼덕로 6(1층 안양동),="0314426699",조**,황**
="20250522",="20240586122",비젼카페,경기도 양평군 양동면 양동로 1872,,윤**,장**
="20250522",="20070025539",사랑_고궁박물관,서울특별시 종로구 효자로 12(국립고궁박물관 세종로),="0222701202",최**,이**
="20250522",="20240542298",삽다리초가집,경기도 파주시 동패샘길 244-1(1층 동패동),,성**,김**
="20250522",="20130202413",샤브모아월남쌈,인천광역시 부평구 경원대로 1415(부평동  파라움 202 203 204호),="0325294992",박**,박**
="20250522",="20100330226",샤브올데이 구리수택점,경기도 구리시 체육관로80번길 19(도레미상가 2층 수택동),="15663687",도*******,전**
="20250522",="20240046205",서울참순대,서울특별시 중구 칠패로 27(순화동더샵 지1층 103b호 순화동),,이**,김**
="20250522",="20230469283",솔솜밥상,경기도 남양주시 화도읍 비룡로55번길 21-13(1층 일부호),,김**,황**
="20250522",="20240563456",송산한식뷔페,경기도 화성시 수노을2로 36(1동 203호 새솔동),="0313550665",권**,이*******
="20250522",="20190108944",송강제면소 강남 삼성점,서울특별시 강남구 삼성로104길 15(2층 삼성동),,L*******************************,김**
="20250522",="20000358156",송차이나,경기도 이천시 백사면 이여로 184,="0316384151",장**,송**
="20250522",="20240526247",수인 인사동 닭한마리,경기도 하남시 미사대로 750(스타필드 하남 2층 일부호 신장동),,윤**,김**
